Pista wui,Annelida,105938,""
Rebecca salina,Haptophyta,168560,""
Synedra acus,Eukaryota,992764,""
Tuber indicum,Fungi,766380,""
Rhysida nuda,Arthropoda,849378,""
Car pini,Coleoptera,444291,""
Lima lima,Mollusca,124368,""
Lippia alba,Chloroplastida,603412,""
Acrotylus australis,Rhodophyta,637886,""
Malo kingi,Cnidaria,665121,""
Loa loa,Metazoa,555803,""
Bosea eneae,Bacteria,871815,""
Oscarella nicolae,Porifera,4939679,""
Pleurobrachia bachei,Ctenophora,742126,""
Ia io,Chordata,797470,""
Larca lata,Arachnida,895021,""
Uca osa,Malacostraca,357625,""
Osca lata,Diptera,4449665,""
Una usta,Lepidoptera,1082485,""
Odontomachus rixosus,Hymenoptera,788940,"http://dx.doi.org/10.1242/jeb.015263"
Cyanophora biloba,Glaucophyta,5401404,""
Aeropyrum camini,Archaea,28783,"http://www.ncbi.nlm.nih.gov/taxonomy accessed 2014-07-24"
Resnova humifusa,Massonieae,101493,"https://github.com/OpenTreeOfLife/feedback/issues/57"
Progenitohyus,Cetartiodactyla,3615889,"https://github.com/OpenTreeOfLife/feedback/issues/58"
Drosophila,Metazoa,34907,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/112"
Choanoflagellida,Opisthokonta,202765,"https://github.com/OpenTreeOfLife/feedback/issues/45"
Dendrosporium,Pezizomycotina,5343662,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Dischloridium,Trichocomaceae,895423,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Macrophoma,Botryosphaeriaceae,5394801,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Cordana,Pezizomycotina,946160,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Pseudofusarium,Nectriaceae,655794,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Leucocryptos,Katablepharidophyta,111139,"failing - https://github.com/OpenTreeOfLife/feedback/issues/5"
Marssonia,Dermateaceae,176780,"plant https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Acremonium,Hypocreales,5342243,"five of them https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Tricellulortus peponiformis,Cantharellales,321127,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Gloeosporium,Dermateaceae,75019,"misplaced https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
